created_at,word
2020-02-24T02:13:47Z,berniebull
2020-02-24T02:13:47Z,amyklobuchar
2020-02-24T02:13:47Z,call
2020-02-24T02:13:47Z,debate
2020-02-24T02:13:47Z,60minutes
2020-02-23T15:33:27Z,2018
2020-02-23T15:33:27Z,voter
2020-02-23T15:33:27Z,turnout
2020-02-23T15:33:27Z,midterm
2020-02-23T15:33:27Z,election
2020-02-23T15:33:27Z,fifty
2020-02-23T15:33:27Z,women
2020-02-23T15:33:27Z,people
2020-02-23T15:33:27Z,color
2020-02-23T15:33:27Z,ran
2020-02-23T15:33:27Z,office
2020-02-23T15:33:27Z,won
2020-02-23T15:33:27Z,resisting
2020-02-23T15:33:27Z,insisting
2020-02-23T15:33:27Z,forward
2020-02-23T15:33:27Z,president
2020-02-23T15:33:27Z,continue
2020-02-23T15:33:27Z,move
2020-02-23T15:33:27Z,country
2020-02-23T15:33:27Z,direction
2020-02-23T06:28:50Z,amymostelectabledemocratinkeyswingstates
2020-02-23T06:28:50Z,amybeatstrump
2020-02-23T06:28:50Z,amywinselectoralcollege
2020-02-23T06:28:50Z,amyforamerica
2020-02-23T06:28:50Z,klobushark
2020-02-23T06:28:50Z,winbig
2020-02-23T06:28:50Z,itsklobberintime
2020-02-23T06:28:50Z,amyklobuchar2020
2020-02-23T06:28:50Z,amyklobuchar
2020-02-23T06:28:50Z,klobuchar2020
2020-02-23T06:28:50Z,goldilockswithgrit
2020-02-23T06:28:50Z,amyklo
2020-02-23T06:28:50Z,acrosstheaisleamy
2020-02-23T06:28:50Z,klobuchar
2020-02-23T06:28:50Z,electable
2020-02-23T06:28:50Z,democrat
2020-02-23T06:28:50Z,key
2020-02-23T06:28:50Z,swing
2020-02-23T19:15:40Z,bill
2020-02-23T19:15:40Z,clinton
2020-02-23T19:15:40Z,ran
2020-02-23T19:15:40Z,1992
2020-02-23T19:15:40Z,dead
2020-02-23T19:15:40Z,iowa
2020-02-23T19:15:40Z,chances
2020-02-23T19:15:40Z,dead
2020-02-23T19:15:40Z,2nd
2020-02-23T19:15:40Z,nh
2020-02-23T19:15:40Z,win
2020-02-23T19:15:40Z,contest
2020-02-23T19:15:40Z,7th
2020-02-23T19:15:40Z,primary
2020-02-23T19:15:40Z,hint
2020-02-23T19:15:40Z,president
2020-02-23T19:15:40Z,write
2020-02-23T19:15:40Z,amy
2020-02-23T19:15:40Z,retweet
