created_at,word
2020-02-24T03:54:41Z,fuck
2020-02-24T03:54:41Z,michaelbloomberg
2020-02-24T03:26:05Z,berniesanders2020
2020-02-24T03:26:05Z,wins
2020-02-24T03:26:05Z,southcarolinaprimary
2020-02-24T03:26:05Z,democraticnomation
2020-02-24T03:26:05Z,joebiden
2020-02-24T03:26:05Z,michaelbloomberg
2020-02-24T03:26:05Z,petebuttigieg
2020-02-24T03:26:05Z,rest
2020-02-24T03:26:05Z,primary
2020-02-20T04:38:01Z,michaelbloomberg
2020-02-20T04:38:01Z,feeling
2020-02-20T04:38:01Z,heat
2020-02-20T04:38:01Z,tonight
2020-02-20T04:38:01Z,democraticdebate
2020-02-20T04:38:01Z,lasvegas
2020-02-20T04:38:01Z,berniesanders2020
2020-02-20T04:38:01Z,time
2020-02-20T04:38:01Z,joebiden
2020-02-20T04:38:01Z,flipped
2020-02-20T04:38:01Z,flopped
2020-02-20T04:38:01Z,record
2020-02-20T04:38:01Z,u.s
2020-02-20T04:38:01Z,senator
2020-02-20T02:05:08Z,michaelbloomberg
2020-02-20T02:05:08Z,people
2020-02-20T02:05:08Z,love
2020-02-20T02:05:08Z,insurance
2020-02-20T02:05:08Z,plans
2020-02-20T02:05:08Z,demdebate
2020-02-24T03:10:52Z,michaelbloomberg
2020-02-24T03:10:52Z,ads
2020-02-24T03:10:52Z,stop
2020-02-24T03:10:52Z,ads
2020-02-24T03:10:52Z,pollution
2020-02-24T02:13:54Z,michaelbloomberg
2020-02-24T02:13:54Z,talks
2020-02-24T02:13:54Z,trump
2020-02-24T02:13:54Z,distorts
2020-02-24T02:13:54Z,michaelbloomberg
2020-02-24T02:13:54Z,ad
2020-02-24T02:13:54Z,distorted
2020-02-22T02:05:02Z,democracy
2020-02-22T02:05:02Z,bernie
2020-02-22T02:05:02Z,sanders
2020-02-22T02:05:02Z,democrats
2020-02-22T02:05:02Z,candidate
2020-02-22T02:05:02Z,bernie
2020-02-22T02:05:02Z,admitted
2020-02-22T02:05:02Z,paternalistic
2020-02-22T02:05:02Z,undemocratically
2020-02-22T02:05:02Z,bernieknew
2020-02-22T02:05:02Z,berniebros
2020-02-22T02:05:02Z,petebuttigieg
2020-02-22T02:05:02Z,michaelbloomberg
2020-02-22T02:05:02Z,russianinterference
2020-02-24T01:59:49Z,fortunate
2020-02-24T01:59:49Z,living
2020-02-24T01:59:49Z,moment
2020-02-24T01:59:49Z,history
2020-02-24T01:59:49Z,berniewon
2020-02-24T01:59:49Z,nvcaucus
2020-02-24T01:59:49Z,greennewdeal
2020-02-24T01:59:49Z,m4a
2020-02-24T01:59:49Z,berniesanders2020
2020-02-24T01:59:49Z,petebuttigieg
2020-02-24T01:59:49Z,elizabethwarren
2020-02-24T01:59:49Z,michaelbloomberg
2020-02-24T01:05:04Z,dear
2020-02-24T01:05:04Z,michaelbloomberg
2020-02-24T01:05:04Z,offer
2020-02-24T01:05:04Z,donny
2020-02-24T01:05:04Z,1
2020-02-24T01:05:04Z,billion
2020-02-24T01:05:04Z,dollars
2020-02-24T01:05:04Z,offshore
2020-02-24T01:05:04Z,account
2020-02-24T01:05:04Z,immediately
2020-02-24T01:05:04Z,resign
2020-02-24T01:05:04Z,office
2020-02-24T01:05:04Z,president
2020-02-24T01:05:04Z,united
2020-02-24T01:05:04Z,accept
2020-02-24T01:05:04Z,offer
2020-02-23T23:32:55Z,michaelbloomberg
2020-02-23T23:32:55Z,spent
2020-02-23T23:32:55Z,half
2020-02-23T23:32:55Z,billion
2020-02-23T23:32:55Z,dollars
2020-02-23T23:32:55Z,10
2020-02-23T23:32:55Z,15
2020-02-23T23:32:55Z,democratic
2020-02-23T23:32:55Z,primary
2020-02-23T23:32:55Z,vote
2020-02-23T23:32:55Z,russia
2020-02-23T23:32:55Z,spent
2020-02-23T23:32:55Z,"100,000"
2020-02-23T23:32:55Z,altered
2020-02-23T23:32:55Z,result
2020-02-23T23:32:55Z,2016
2020-02-23T23:32:55Z,national
2020-02-23T23:32:55Z,election
2020-02-23T22:56:47Z,5’8
2020-02-23T22:56:47Z,3
2020-02-23T22:56:47Z,4
2020-02-23T22:56:47Z,male
2020-02-23T22:56:47Z,elizabethwarren
2020-02-23T22:56:47Z,insulting
2020-02-23T22:56:47Z,unpresidential
2020-02-23T22:56:47Z,democratic
2020-02-23T22:56:47Z,socialist
2020-02-23T22:56:47Z,michaelbloomberg
2020-02-23T22:56:47Z,conflating
2020-02-23T22:56:47Z,socialism
2020-02-23T22:56:47Z,communism
2020-02-23T22:56:47Z,reprehensible
2020-02-23T22:56:47Z,politically
2020-02-23T22:56:47Z,ignorant
2020-02-23T22:56:47Z,disqualified
2020-02-23T22:56:47Z,book
2020-02-23T22:53:36Z,astonished
2020-02-23T22:53:36Z,michaelbloomberg
