created_at,word
2020-02-24T03:51:01Z,insulting
2020-02-24T03:51:01Z,petebuttigieg
2020-02-24T03:51:01Z,likens
2020-02-24T03:51:01Z,experiences
2020-02-24T03:51:01Z,homosexual
2020-02-24T03:51:01Z,discrimination
2020-02-24T03:51:01Z,blacks
2020-02-24T03:51:01Z,blacks
2020-02-24T03:51:01Z,asians
2020-02-24T03:51:01Z,poc
2020-02-24T03:51:01Z,judged
2020-02-24T03:51:01Z,skin
2020-02-24T03:51:01Z,color
2020-02-24T03:51:01Z,candidate
2020-02-24T03:51:01Z,trust
2020-02-24T03:51:01Z,biden2020
2020-02-24T01:59:49Z,fortunate
2020-02-24T01:59:49Z,living
2020-02-24T01:59:49Z,moment
2020-02-24T01:59:49Z,history
2020-02-24T01:59:49Z,berniewon
2020-02-24T01:59:49Z,nvcaucus
2020-02-24T01:59:49Z,greennewdeal
2020-02-24T01:59:49Z,m4a
2020-02-24T01:59:49Z,berniesanders2020
2020-02-24T01:59:49Z,petebuttigieg
2020-02-24T01:59:49Z,elizabethwarren
2020-02-24T01:59:49Z,michaelbloomberg
2020-02-24T03:31:27Z,este
2020-02-24T03:31:27Z,presidente
2020-02-24T03:31:27Z,le
2020-02-24T03:31:27Z,gusta
2020-02-24T03:31:27Z,hablar
2020-02-24T03:31:27Z,de
2020-02-24T03:31:27Z,una
2020-02-24T03:31:27Z,economía
2020-02-24T03:31:27Z,próspera
2020-02-24T03:31:27Z,pero
2020-02-24T03:31:27Z,los
2020-02-24T03:31:27Z,trabajadores
2020-02-24T03:31:27Z,estadounidenses
2020-02-24T03:31:27Z,saben
2020-02-24T03:31:27Z,ese
2020-02-24T03:31:27Z,es
2020-02-24T03:31:27Z,el
2020-02-24T03:31:27Z,caso
2020-02-24T03:31:27Z,nuestra
2020-02-24T03:31:27Z,economía
2020-02-24T03:31:27Z,debe
2020-02-24T03:31:27Z,funcionar
2020-02-24T03:31:27Z,para
2020-02-24T03:31:27Z,todos
2020-02-24T03:31:27Z,como
2020-02-24T03:31:27Z,presidente
2020-02-24T03:31:27Z,garantizaré
2020-02-24T03:31:27Z,el
2020-02-24T03:31:27Z,derecho
2020-02-24T03:31:27Z,sueldo
2020-02-24T03:31:27Z,digno
2020-02-24T03:31:27Z,sindicato
2020-02-24T03:31:27Z,poderoso
2020-02-24T03:26:05Z,berniesanders2020
2020-02-24T03:26:05Z,wins
2020-02-24T03:26:05Z,southcarolinaprimary
2020-02-24T03:26:05Z,democraticnomation
2020-02-24T03:26:05Z,joebiden
2020-02-24T03:26:05Z,michaelbloomberg
2020-02-24T03:26:05Z,petebuttigieg
2020-02-24T03:26:05Z,rest
2020-02-24T03:26:05Z,primary
2020-02-24T03:21:48Z,type
2020-02-24T03:21:48Z,democratic
2020-02-24T03:21:48Z,presidential
2020-02-24T03:21:48Z,candidate
2020-02-24T03:21:48Z,feel
2020-02-24T03:21:48Z,defeat
2020-02-24T03:21:48Z,president
2020-02-24T03:21:48Z,trump
2020-02-24T03:21:48Z,november
2020-02-24T03:21:48Z,polls
2020-02-24T03:21:48Z,berniesanders
2020-02-24T03:21:48Z,joebiden
2020-02-24T03:21:48Z,elizabethwarren
2020-02-24T03:21:48Z,petebuttigieg
2020-02-24T03:21:48Z,amyklobuchar
2020-02-24T03:21:48Z,mikebloomberg
2020-02-24T03:21:48Z,tomsteyer
2020-02-24T02:36:26Z,petebuttigieg
2020-02-24T02:36:26Z,delegate
2020-02-24T02:36:26Z,nvcaucus
2020-02-24T02:36:26Z,nevadacaucus
2020-02-24T02:36:26Z,15
2020-02-24T02:36:26Z,margain
2020-02-24T02:32:19Z,petebuttigieg
2020-02-24T02:32:19Z,pete
2020-02-24T02:32:19Z,butt
2020-02-24T02:32:19Z,hurt
2020-02-24T02:24:01Z,fellow
2020-02-24T02:24:01Z,passenger
2020-02-24T02:24:01Z,flight
2020-02-24T02:24:01Z,dc
2020-02-24T02:24:01Z,spontaneously
2020-02-24T02:24:01Z,helping
2020-02-24T02:24:01Z,3
2020-02-24T02:24:01Z,strangers
2020-02-24T02:24:01Z,including
2020-02-24T02:24:01Z,pete
2020-02-24T02:24:01Z,petebuttigieg
2020-02-24T02:24:00Z,caucused
2020-02-24T02:24:00Z,petebuttigieg
2020-02-24T02:24:00Z,elect
2020-02-24T02:24:00Z,moderate
2020-02-24T02:24:00Z,bernie
2020-02-24T02:24:00Z,favorite
2020-02-24T02:24:00Z,appears
2020-02-24T02:24:00Z,strongest
2020-02-24T02:24:00Z,candidate
2020-02-24T02:24:00Z,gonna
2020-02-24T02:24:00Z,fling
2020-02-24T02:24:00Z,obloquy
2020-02-24T02:24:00Z,trump
2020-02-24T02:24:00Z,cultists
2020-02-24T02:24:00Z,twitter
2020-02-24T02:24:00Z,bernie2020
2020-02-23T22:01:58Z,stans
2020-02-23T22:01:58Z,lizzo
2020-02-23T22:01:58Z,hard
2020-02-23T22:01:58Z,lmao
2020-02-23T22:01:58Z,petebuttigieg
2020-02-24T02:08:20Z,petebuttigieg
2020-02-24T02:08:20Z,win
2020-02-24T02:08:20Z,election
2020-02-24T02:08:20Z,wins
2020-02-24T02:08:20Z,discrimination
2020-02-24T02:08:20Z,based
2020-02-24T02:08:20Z,reason
2020-02-24T02:08:20Z,discrimination
2020-02-24T02:08:20Z,voting
2020-02-24T02:08:20Z,gay
2020-02-24T02:08:20Z,president
2020-02-24T02:08:20Z,talk
2020-02-24T02:08:20Z,issues
2020-02-24T02:08:20Z,fix
2020-02-23T21:14:18Z,links
2020-02-23T21:14:18Z,people
2020-02-23T21:14:18Z,register
2020-02-23T21:14:18Z,democratic
2020-02-23T21:14:18Z,super
2020-02-23T21:14:18Z,tuesday
2020-02-23T21:14:18Z,starting
2020-02-23T21:14:18Z,petebuttigieg
2020-02-23T21:14:18Z,info
2020-02-23T21:14:18Z,friends
2020-02-23T22:45:59Z,donaldtrump
2020-02-23T22:45:59Z,republican
2020-02-23T22:45:59Z,mittromney
2020-02-23T22:45:59Z,republican
2020-02-23T22:45:59Z,mikebloomberg
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,petebuttigieg
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,tomsteyer
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,amyklobuchar
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,elizabethwarren
