created_at,word
2020-02-24T03:19:13Z,i’m
2020-02-24T03:19:13Z,voting
2020-02-24T03:19:13Z,elizabethwarren
2020-02-24T03:19:13Z,arizona
2020-02-24T03:19:13Z,presidential
2020-02-24T03:19:13Z,preference
2020-02-24T03:19:13Z,election
2020-02-24T03:19:03Z,voted
2020-02-24T03:19:03Z,elizabethwarren
2020-02-24T03:19:03Z,arizona
2020-02-24T03:19:03Z,presidential
2020-02-24T03:19:03Z,preference
2020-02-24T03:19:03Z,election
2020-02-24T03:19:03Z,ppe
2020-02-24T03:19:03Z,voting
2020-02-24T03:19:03Z,confirm
2020-02-24T03:19:03Z,election
2020-02-24T03:19:03Z,official
2020-02-24T03:19:03Z,ballot
2020-02-24T03:19:03Z,tabulated
2020-02-24T03:19:03Z,damn
2020-02-24T03:19:03Z,vote
2020-02-24T03:19:03Z,counts
2020-02-24T03:19:03Z,presidentwarren
2020-02-24T03:19:03Z,stahlforall
2020-02-24T03:19:03Z,arizonablue
2020-02-20T03:27:33Z,elizabethwarren
2020-02-20T03:27:33Z,stuff
2020-02-20T03:27:33Z,presidential
2020-02-20T03:27:33Z,fortunate
2020-02-20T03:27:33Z,caliber
2020-02-20T03:27:33Z,running
2020-02-20T03:27:33Z,president
2020-02-20T03:27:33Z,presidentwarren
2020-02-20T03:27:33Z,warrenforthewin
2020-02-20T03:27:33Z,warren2020
2020-02-20T02:49:29Z,elizabethwarren
2020-02-20T02:49:29Z,fight
2020-02-20T02:49:29Z,stand
2020-02-20T02:49:29Z,impeachedtrump
2020-02-20T02:49:29Z,win
2020-02-20T02:49:29Z,truth
2020-02-20T02:49:29Z,decency
2020-02-20T02:49:29Z,plan
2020-02-20T02:49:29Z,vote
2020-02-20T02:49:29Z,presidentwarren
2020-02-20T02:49:29Z,votewarren
2020-02-20T13:58:39Z,elizabethwarren
2020-02-20T13:58:39Z,president
2020-02-20T13:58:39Z,united
2020-02-20T13:58:39Z,presidentwarren2020
2020-02-20T13:58:39Z,presidentelizabethwarren
2020-02-20T13:58:39Z,warren46
2020-02-20T13:58:39Z,warrenforthewin
2020-02-20T03:11:56Z,warrenforthewin
2020-02-20T03:11:56Z,elizabethwarren
2020-02-20T03:11:56Z,day
2020-02-20T03:11:56Z,presidentwarren2020
2020-02-20T03:11:56Z,presidentwarren
2020-02-20T03:11:56Z,warren2020
2020-02-24T03:17:01Z,voted
2020-02-24T03:17:01Z,elizabethwarren
2020-02-24T03:17:01Z,minnesota
2020-02-24T03:17:01Z,democratic
2020-02-24T03:17:01Z,primary
2020-02-24T03:17:01Z,presidentwarren
2020-02-24T03:16:41Z,voting
2020-02-24T03:16:41Z,elizabethwarren
2020-02-24T03:16:41Z,illinois
2020-02-24T03:16:41Z,primary
2020-02-24T03:16:41Z,excited
2020-02-24T03:16:40Z,elizabethwarren
2020-02-24T03:16:40Z,sounds
2020-02-24T03:16:40Z,substitute
2020-02-24T03:16:40Z,teacher
2020-02-24T03:16:40Z,breaks
2020-02-24T03:16:40Z,front
2020-02-24T03:16:40Z,class
2020-02-24T03:16:40Z,election2020
2020-02-24T03:15:57Z,warren
2020-02-24T03:15:57Z,voters
2020-02-24T03:15:57Z,house
2020-02-24T03:15:57Z,elizabethwarren
2020-02-24T03:15:16Z,wouldn’t
2020-02-24T03:15:16Z,vote
2020-02-24T03:15:16Z,elizabethwarren
2020-02-24T03:15:16Z,dog
2020-02-24T03:15:16Z,catcher
2020-02-24T03:15:16Z,trump2020
2020-02-24T03:15:08Z,choose
2020-02-24T03:15:08Z,comment
2020-02-24T03:15:08Z,vina2020
2020-02-24T03:15:08Z,berniesanders
2020-02-24T03:15:08Z,elizabethwarren
2020-02-24T03:15:08Z,election2020
2020-02-24T03:15:08Z,democraticprimary
2020-02-24T03:14:49Z,voting
2020-02-24T03:14:49Z,elizabethwarren
2020-02-24T03:14:49Z,ny
2020-02-24T03:14:49Z,primary
2020-02-24T03:14:10Z,voting
2020-02-24T03:14:10Z,elizabethwarren
2020-02-24T03:14:10Z,pennsylvania
2020-02-24T03:14:10Z,primary
2020-02-24T03:13:58Z,voting
2020-02-24T03:13:58Z,elizabethwarren
2020-02-24T03:13:58Z,colorado
2020-02-24T03:13:58Z,primary
2020-02-24T03:13:17Z,i’m
2020-02-24T03:13:17Z,voting
2020-02-24T03:13:17Z,elizabethwarren
2020-02-24T03:13:17Z,nebraska
2020-02-24T03:13:17Z,primary
2020-02-24T03:12:59Z,i’m
2020-02-24T03:12:59Z,voting
2020-02-24T03:12:59Z,elizabethwarren
2020-02-24T03:12:59Z,wisconsin
2020-02-24T03:12:59Z,primary
2020-02-24T03:12:06Z,i’m
2020-02-24T03:12:06Z,voting
2020-02-24T03:12:06Z,elizabethwarren
2020-02-24T03:12:06Z,minnesota
2020-02-24T03:12:06Z,primary
2020-02-24T03:11:05Z,vote
2020-02-24T03:11:05Z,primary
2020-02-24T03:11:05Z,tomorrow
2020-02-24T03:11:05Z,elizabethwarren
2020-02-24T03:10:36Z,bitch
2020-02-24T03:10:36Z,elizabethwarren
2020-02-24T03:10:36Z,election2020
2020-02-24T03:02:21Z,i’m
